Filename;ClassId
dataset\GTSRB\Final_Training/Images\00007\00011_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00020.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00021.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00022.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00023.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00024.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00025.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00026.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00027.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00028.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00011_00029.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00000.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00020.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00021.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00022.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00023.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00024.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00025.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00026.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00027.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00028.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00012_00029.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00000.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00020.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00021.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00022.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00023.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00024.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00025.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00026.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00027.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00028.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00013_00029.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00000.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00020.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00021.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00022.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00023.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00024.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00025.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00026.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00027.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00028.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00014_00029.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00000.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00020.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00021.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00022.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00023.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00024.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00025.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00026.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00027.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00028.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00015_00029.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00000.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00020.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00021.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00022.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00023.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00024.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00025.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00026.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00027.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00028.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00016_00029.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00000.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00020.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00021.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00022.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00023.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00024.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00025.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00026.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00027.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00028.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00017_00029.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00000.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00020.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00021.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00022.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00023.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00024.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00025.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00026.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00027.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00028.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00018_00029.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00000.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00020.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00021.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00022.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00023.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00024.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00025.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00026.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00027.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00028.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00019_00029.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00000.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00020.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00021.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00022.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00023.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00024.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00025.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00026.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00027.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00028.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00020_00029.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00000.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00020.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00021.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00022.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00023.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00024.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00025.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00026.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00027.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00028.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00021_00029.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00000.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00001.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00002.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00003.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00004.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00005.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00006.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00007.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00008.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00009.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00010.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00011.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00012.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00013.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00014.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00015.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00016.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00017.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00018.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00019.ppm;7
dataset\GTSRB\Final_Training/Images\00007\00022_00020.ppm;7
